,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,14,14,22,22,22,44,44,44,44,44
Reserves,45,69,300,357,419,467,545,625,237,-587
Borrowings +,83,202,205,296,498,658,688,843,"1,566","1,677"
Other Liabilities +,58,152,175,367,787,630,"1,233","1,337",528,450
Total Liabilities,200,438,702,"1,042","1,725","1,799","2,510","2,850","2,376","1,585"
Fixed Assets +,28,109,113,209,221,218,474,411,350,304
CWIP,26,2,48,11,33,111,0,3,9,10
Investments,1,1,1,8,1,1,0,0,1,1
Other Assets +,146,326,540,815,"1,471","1,469","2,036","2,435","2,016","1,271"
Total Assets,200,438,702,"1,042","1,725","1,799","2,510","2,850","2,376","1,585"
