,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,22,22,22,22,22,22,22,22,22,22,22,22,22
Reserves,86,76,71,63,61,52,89,87,87,93,95,86,88
Borrowings +,97,107,107,105,90,86,101,105,103,105,115,78,73
Other Liabilities +,14,21,25,35,49,52,64,55,59,57,59,44,47
Total Liabilities,220,225,225,225,222,212,276,269,272,278,291,230,230
Fixed Assets +,119,125,129,128,125,125,196,192,190,189,186,147,144
CWIP,7,2,0,0,1,0,1,3,5,15,23,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,94,97,96,97,97,87,79,74,77,74,81,83,86
Total Assets,220,225,225,225,222,212,276,269,272,278,291,230,230
