,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,114,122,131,124,157,128,130,157,148,162,147,176,168
Expenses +,100,113,115,112,140,121,119,139,134,145,127,156,148
Operating Profit,14,9,16,12,18,6,11,18,15,17,20,19,19
OPM %,12%,7%,12%,10%,11%,5%,9%,12%,10%,11%,13%,11%,12%
Other Income +,-1,0,-0,-0,-1,0,1,1,4,6,1,-5,-6
Interest,9,11,12,12,11,10,9,13,11,11,11,10,8
Depreciation,8,8,8,8,6,5,4,7,7,6,6,6,7
Profit before tax,-4,-10,-5,-8,-1,-9,-2,-2,1,6,4,-1,-1
Tax %,4%,-2%,3%,2%,-5%,-1%,-48%,-21%,66%,3%,40%,-286%,
Net Profit,-4,-11,-4,-8,-1,-9,-3,-2,0,6,2,-5,-5
EPS in Rs,-1.70,-4.81,-2.02,-3.45,-0.45,-3.91,-1.23,-1.03,0.15,2.74,1.06,-2.04,-2.19
