,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9,9,10,10,10,12,12,12,13,16,16
Reserves,37,44,56,84,125,167,202,359,338,391,585,732,735
Borrowings +,68,125,126,150,160,180,331,373,461,539,550,646,758
Other Liabilities +,70,108,178,126,131,123,126,273,276,290,328,396,419
Total Liabilities,184,286,369,369,426,479,669,"1,016","1,087","1,232","1,475","1,790","1,927"
Fixed Assets +,69,74,83,83,106,140,201,278,272,306,584,601,581
CWIP,3,2,1,22,3,25,8,14,59,179,24,215,330
Investments,1,1,1,1,1,1,19,115,11,7,7,7,7
Other Assets +,111,208,284,262,316,313,442,609,745,740,861,966,"1,009"
Total Assets,184,286,369,369,426,479,669,"1,016","1,087","1,232","1,475","1,790","1,927"
