,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,601","1,988","1,966","2,118","2,042","1,944","2,112","2,374","2,689","2,599","2,632","3,325","4,036"
Expenses +,"1,338","1,598","1,727","1,862","1,808","1,636","1,777","1,975","2,250","2,199","2,166","2,784","3,477"
Operating Profit,264,390,239,256,234,308,336,400,439,400,466,540,559
OPM %,16%,20%,12%,12%,11%,16%,16%,17%,16%,15%,18%,16%,14%
Other Income +,72,14,12,18,112,39,41,37,46,62,32,56,81
Interest,27,25,27,28,25,23,18,9,8,6,4,6,13
Depreciation,50,57,71,91,100,87,96,106,108,105,99,115,150
Profit before tax,258,323,152,154,220,237,262,322,369,351,395,477,477
Tax %,29%,28%,41%,38%,37%,34%,30%,32%,33%,22%,26%,27%,
Net Profit,184,233,90,95,138,155,184,220,248,275,293,350,349
EPS in Rs,9.14,11.70,4.79,4.87,7.05,7.65,9.27,11.41,13.09,14.38,15.00,17.56,17.19
