,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,29,29,29,29,29,29,29,29,29,29,30,30
Reserves,349,396,456,330,379,490,559,499,480,559,618,634
Borrowings +,0,0,0,0,0,0,0,0,0,7,9,4
Other Liabilities +,53,84,96,87,94,64,70,86,108,74,69,114
Total Liabilities,430,508,581,446,502,584,658,614,618,671,725,781
Fixed Assets +,56,58,59,65,64,61,60,83,93,85,96,106
CWIP,0,0,0,0,0,0,0,0,1,3,8,0
Investments,270,381,459,335,381,466,518,439,339,240,44,44
Other Assets +,103,69,63,46,58,57,79,93,185,343,577,631
Total Assets,430,508,581,446,502,584,658,614,618,671,725,781
