,Mar 2006,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,35,35,35,35,35,35,40,40,41
Reserves,318,791,812,835,450,518,602,654,600
Borrowings +,21,27,256,238,225,208,301,288,344
Other Liabilities +,43,78,74,73,114,127,133,130,130
Total Liabilities,418,931,"1,178","1,181",825,888,"1,072","1,108","1,108"
Fixed Assets +,157,96,94,91,18,86,84,81,79
CWIP,3,1,1,1,0,0,0,0,0
Investments,35,19,195,"1,011",681,661,722,952,916
Other Assets +,223,815,888,79,126,141,266,75,113
Total Assets,418,931,"1,178","1,181",825,888,"1,072","1,108","1,108"
