,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,124","2,048","1,767",903,670,403,586,471,465,344,204,131,128
Expenses +,"1,971","1,945","1,752","1,118",701,444,600,492,462,405,251,192,198
Operating Profit,153,103,16,-216,-31,-41,-14,-21,3,-61,-48,-62,-70
OPM %,7%,5%,1%,-24%,-5%,-10%,-2%,-5%,1%,-18%,-23%,-47%,-54%
Other Income +,5,-0,8,4,5,12,19,66,46,20,35,6,3
Interest,61,85,109,117,130,141,147,124,116,110,83,78,78
Depreciation,14,16,24,21,26,17,17,8,6,7,9,7,7
Profit before tax,83,2,-110,-351,-182,-188,-159,-87,-73,-158,-104,-142,-151
Tax %,43%,596%,28%,30%,-1%,0%,0%,0%,1%,0%,1%,1%,
Net Profit,47,-10,-79,-246,-183,-188,-159,-87,-72,-157,-103,-141,-150
EPS in Rs,2.54,-0.54,-4.30,-13.33,-9.92,-4.71,-3.99,-2.18,-1.81,-3.94,-2.58,-3.53,-3.77
