,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,18,18,33,33,33,33,33,33,33,33,33,33
Reserves,747,848,914,942,985,992,"1,000",954,914,390,348,309,299
Borrowings +,133,284,300,403,453,443,452,445,446,304,284,241,89
Other Liabilities +,363,220,232,227,174,188,187,188,206,211,201,207,363
Total Liabilities,"1,261","1,370","1,464","1,604","1,644","1,656","1,672","1,620","1,599",938,865,790,784
Fixed Assets +,776,961,959,"1,158","1,260","1,410","1,402","1,359","1,322",837,767,687,680
CWIP,220,56,189,180,107,17,18,18,19,11,12,15,17
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,264,354,316,266,277,229,251,243,258,90,86,88,88
Total Assets,"1,261","1,370","1,464","1,604","1,644","1,656","1,672","1,620","1,599",938,865,790,784
