,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,112,112,112,112,112,112,112
Reserves,"2,370","2,636","3,182","3,368","3,393","3,607","3,661"
Borrowings +,"5,700","4,369","1,020","1,400","1,049","1,336","1,372"
Other Liabilities +,"2,154","3,214","1,861","1,868","2,141","2,684","3,106"
Total Liabilities,"10,336","10,331","6,175","6,747","6,693","7,739","8,251"
Fixed Assets +,"7,309","7,256","4,430","4,293","4,139","4,059","4,022"
CWIP,34,35,275,176,210,211,196
Investments,258,223,183,107,238,409,300
Other Assets +,"2,734","2,817","1,287","2,171","2,106","3,060","3,734"
Total Assets,"10,336","10,331","6,175","6,747","6,693","7,739","8,251"
