,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,917,"1,009","1,185","1,352","1,224","1,224","1,446","1,658"
Expenses +,776,833,"1,008","1,153","1,057","1,066","1,217","1,376"
Operating Profit,141,176,177,199,167,158,229,282
OPM %,15%,17%,15%,15%,14%,13%,16%,17%
Other Income +,10,15,14,18,17,25,18,16
Interest,5,10,10,9,10,10,5,6
Depreciation,16,22,27,28,39,40,32,34
Profit before tax,129,158,155,180,135,134,209,258
Tax %,36%,37%,32%,36%,18%,25%,27%,
Net Profit,83,100,106,115,111,100,153,189
EPS in Rs,64.17,78.23,79.33,88.51,87.08,77.48,116.18,143.34
