,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,19,21,25,26,27,27,28,28,28,28,27
Reserves,21,37,87,244,334,-67,-20,123,239,344,432,462
Borrowings +,13,20,26,43,127,144,131,74,121,46,80,64
Other Liabilities +,17,23,51,72,149,125,100,83,91,114,158,189
Total Liabilities,68,99,185,384,636,228,238,308,480,532,698,743
Fixed Assets +,29,32,69,71,141,64,62,68,102,93,113,144
CWIP,4,10,10,55,64,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,49,80,120,124
Other Assets +,36,57,106,258,430,164,176,239,329,358,465,474
Total Assets,68,99,185,384,636,228,238,308,480,532,698,743
