,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,28.17,28.17,28.17,28.17,28.17,28.00,14.00,14.00,14.00,15.05,15.78
Reserves,108.83,119.50,124.70,137.74,143.18,146.69,100.34,107.97,112.78,93.93,134.72
Borrowings +,63.43,96.46,81.33,87.59,98.28,124.85,157.92,171.38,321.98,322.38,331.99
Other Liabilities +,44.08,40.58,61.42,44.82,72.75,75.67,15.95,31.83,19.42,17.57,36.82
Total Liabilities,244.34,284.54,295.45,298.15,342.21,375.21,288.21,325.18,468.18,448.93,519.31
Fixed Assets +,73.55,160.71,194.21,207.63,216.80,242.87,230.85,103.99,391.14,361.34,399.60
CWIP,51.27,36.75,27.63,20.01,39.64,23.88,0.00,0.00,0.00,3.29,15.23
Investments,65.20,29.29,0.30,0.33,0.62,0.78,0.00,0.00,0.00,0.00,0.00
Other Assets +,54.32,57.79,73.31,70.18,85.15,107.68,57.36,221.19,77.04,84.30,104.48
Total Assets,244.34,284.54,295.45,298.15,342.21,375.21,288.21,325.18,468.18,448.93,519.31
