,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,100.57,101.62,159.04,192.24,191.88,285.84,24.23,25.66,28.57,45.01,87.57
Expenses +,75.02,75.86,131.21,161.73,162.12,247.18,8.16,8.82,15.49,33.62,65.92
Operating Profit,25.55,25.76,27.83,30.51,29.76,38.66,16.07,16.84,13.08,11.39,21.65
OPM %,25.41%,25.35%,17.50%,15.87%,15.51%,13.53%,66.32%,65.63%,45.78%,25.31%,24.72%
Other Income +,1.40,4.69,12.53,1.45,5.52,-4.35,10.71,16.55,24.75,5.13,28.65
Interest,5.05,3.46,6.31,8.07,11.12,15.13,9.62,18.34,22.26,35.02,30.18
Depreciation,5.13,6.87,18.88,17.47,19.13,21.38,3.64,5.42,7.94,19.24,16.15
Profit before tax,16.77,20.12,15.17,6.42,5.03,-2.20,13.52,9.63,7.63,-37.74,3.97
Tax %,31.60%,31.76%,27.16%,-164.17%,-8.35%,259.55%,27.14%,20.66%,37.35%,6.04%,
Net Profit,11.47,13.73,11.05,16.96,5.45,3.51,9.85,7.63,4.79,-35.46,2.77
EPS in Rs,,,,,,,3.52,2.72,1.71,-11.78,0.71
