,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,12,12,12,12,12,12,12,12,12,12,12,12
Reserves,149,149,149,149,148,146,146,144,143,137,127,106,103
Borrowings +,19,19,23,24,22,28,40,37,41,46,52,63,0
Other Liabilities +,8,7,11,14,16,13,7,18,23,20,11,5,71
Total Liabilities,187,186,194,199,198,199,205,211,218,215,202,186,186
Fixed Assets +,145,145,147,146,146,142,141,137,137,134,113,106,105
CWIP,0,0,0,0,0,0,0,0,0,0,4,6,6
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,42,41,48,53,52,56,64,73,80,81,85,74,75
Total Assets,187,186,194,199,198,199,205,211,218,215,202,186,186
