,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"6,324","7,021","8,279","10,173","11,345","13,790","14,394","15,156","16,362","17,132","19,160","21,763","21,943"
Expenses +,"4,950","5,325","6,065","8,026","9,183","11,310","11,898","12,329","13,265","13,926","14,907","17,211","17,517"
Operating Profit,"1,374","1,696","2,214","2,147","2,163","2,480","2,496","2,826","3,097","3,206","4,252","4,553","4,426"
OPM %,22%,24%,27%,21%,19%,18%,17%,19%,19%,19%,22%,21%,20%
Other Income +,87,103,245,251,164,208,208,280,477,344,266,99,324
Interest,25,38,34,146,168,207,159,114,168,197,161,106,82
Depreciation,273,312,330,373,505,754,"1,323","1,323","1,326","1,175","1,068","1,052","1,092"
Profit before tax,"1,162","1,448","2,095","1,880","1,654","1,727","1,222","1,669","2,079","2,178","3,290","3,493","3,577"
Tax %,17%,21%,26%,25%,24%,19%,15%,15%,27%,29%,27%,27%,
Net Profit,990,"1,144","1,545","1,404","1,229","1,383","1,035","1,417","1,492","1,500","2,389","2,547","2,631"
EPS in Rs,12.32,14.25,19.24,17.29,14.71,16.93,12.51,17.52,18.96,19.18,29.82,31.19,31.81
