,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,166,199,219,273,273,263,289,339,309,182,207,261
Expenses +,170,188,194,238,243,239,278,312,314,193,187,239
Operating Profit,-5,10,25,35,30,24,10,27,-5,-10,20,22
OPM %,-3%,5%,11%,13%,11%,9%,4%,8%,-2%,-6%,10%,8%
Other Income +,8,24,10,11,13,13,15,16,-27,10,9,22
Interest,7,10,9,10,8,8,7,6,8,6,4,2
Depreciation,5,6,5,8,8,7,8,9,14,8,8,8
Profit before tax,-8,19,20,29,27,22,10,27,-54,-15,17,34
Tax %,21%,20%,21%,27%,21%,28%,45%,25%,2%,14%,20%,
Net Profit,-6,15,16,21,21,16,6,20,-53,-13,14,24
EPS in Rs,-1.47,3.88,4.08,4.56,4.49,2.84,1.01,3.52,-9.39,-2.20,2.46,4.31
