,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Sales +,"1,658","1,732","1,534","1,853","3,366","3,510","4,171","4,030"
Expenses +,"1,513","1,619","1,381","1,750","3,132","3,244","3,905","3,816"
Operating Profit,145,113,152,103,234,266,265,215
OPM %,9%,7%,10%,6%,7%,8%,6%,5%
Other Income +,1,4,9,2,18,33,8,18
Interest,51,72,79,84,86,123,105,97
Depreciation,12,11,11,11,11,11,11,11
Profit before tax,83,34,71,10,156,164,157,125
Tax %,12%,5%,6%,57%,-1%,2%,-1%,4%
Net Profit,74,33,67,4,157,161,158,121
EPS in Rs,,,,,13.12,13.40,13.20,10.22
