,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Sep 2018
Share Capital +,3,3,3,3,3,11,14,15,15,15
Reserves,-10,-2,-1,1,3,24,160,192,223,235
Borrowings +,19,9,14,18,17,33,98,158,218,243
Other Liabilities +,8,8,9,8,10,26,49,131,137,158
Total Liabilities,19,18,24,29,33,95,322,496,593,652
Fixed Assets +,8,7,6,6,6,8,166,164,160,157
CWIP,0,0,0,0,0,0,7,5,4,3
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets +,12,11,18,24,27,87,149,328,428,492
Total Assets,19,18,24,29,33,95,322,496,593,652
