,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,"6,316","6,316","6,316","6,316","6,316","6,316","6,207","6,207","6,163","6,163","6,163","6,163","6,163"
Reserves,"26,998","34,137","42,156","36,088","34,037","28,517","18,311","13,971","20,292","25,994","30,355","36,980","50,200"
Borrowings +,"1,554","1,527","1,305",178,408,"1,199","3,014","1,538","2,210","6,434","5,884","3,514","3,916"
Other Liabilities +,"50,997","65,006","61,206","62,356","70,505","77,528","91,054","103,754","104,356","111,430","118,649","132,776","134,871"
Total Liabilities,"85,865","106,986","110,983","104,938","111,267","113,560","118,587","125,471","133,021","150,020","161,051","179,432","195,149"
Fixed Assets +,"12,843","13,440","13,466","14,784","16,115","22,082","23,811","27,574","32,618","36,784","42,405","46,677","48,516"
CWIP,"2,057","2,903","3,496","4,316","5,159","4,553","8,585","10,273","9,658","8,328","10,490","12,897","14,850"
Investments,"1,064","1,981","2,395","3,775","2,813","2,906","1,483","1,704","3,170","1,973","5,950","9,706","8,314"
Other Assets +,"69,900","88,661","91,626","82,063","87,179","84,018","84,708","85,920","87,576","102,936","102,206","110,152","123,469"
Total Assets,"85,865","106,986","110,983","104,938","111,267","113,560","118,587","125,471","133,021","150,020","161,051","179,432","195,149"
