,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,136,132,132,132,132,132
Reserves,"3,120","3,197","3,591","3,902","4,262","4,366"
Borrowings +,123,123,123,540,551,554
Other Liabilities +,"2,109","1,799","2,565","2,976","3,501","3,117"
Total Liabilities,"5,487","5,251","6,411","7,549","8,445","8,169"
Fixed Assets +,349,376,764,867,970,952
CWIP,121,342,799,"1,176","1,264","1,346"
Investments,0,0,0,0,0,0
Other Assets +,"5,017","4,532","4,848","5,506","6,211","5,870"
Total Assets,"5,487","5,251","6,411","7,549","8,445","8,169"
