,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83
Reserves,76.10,85.37,91.54,98.20,102.69,110.03,106.47,110.32,112.14,111.59,111.06,121.68,120.61
Borrowings +,43.21,21.55,19.27,41.47,31.44,22.93,7.52,3.03,12.12,10.77,2.21,6.01,4.24
Other Liabilities +,43.32,48.73,55.28,49.13,38.82,34.84,35.29,27.72,23.73,17.32,18.17,21.88,30.99
Total Liabilities,178.46,171.48,181.92,204.63,188.78,183.63,165.11,156.90,163.82,155.51,147.27,165.40,171.67
Fixed Assets +,69.58,45.81,52.36,80.23,66.80,53.51,38.02,26.35,14.90,14.98,14.68,34.51,32.10
CWIP,0.00,0.08,0.00,0.00,0.00,0.00,0.00,1.14,4.34,6.59,12.03,13.64,15.01
Investments,0.25,0.38,0.28,1.50,1.14,1.32,1.52,4.10,1.07,0.45,1.51,3.15,3.18
Other Assets +,108.63,125.21,129.28,122.90,120.84,128.80,125.57,125.31,143.51,133.49,119.05,114.10,121.38
Total Assets,178.46,171.48,181.92,204.63,188.78,183.63,165.11,156.90,163.82,155.51,147.27,165.40,171.67
