,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,17,16,17,17,17,18,18,18
Reserves,"2,761","2,874","3,084","3,109","3,080","4,572","4,947","5,980"
Borrowings +,"1,930","1,829","3,431","4,273","8,480","8,757","8,040","6,322"
Other Liabilities +,818,908,"1,483","1,357","2,831","4,624","4,973","6,003"
Total Liabilities,"5,525","5,627","8,014","8,756","14,407","17,970","17,978","18,322"
Fixed Assets +,"3,592","3,438","4,662","4,728","7,788","12,417","12,176","11,042"
CWIP,117,117,550,"1,238","1,914",236,133,167
Investments,659,"1,194","1,180","1,234","1,690","2,667","2,744","3,504"
Other Assets +,"1,157",879,"1,621","1,556","3,015","2,650","2,926","3,608"
Total Assets,"5,525","5,627","8,014","8,756","14,407","17,970","17,978","18,322"
