,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Share Capital +,1,1,1,1,1,3,3,3,3,3,3,3,3
Reserves,16,20,25,31,40,49,52,183,208,186,163,243,286
Borrowings +,3,3,7,17,18,12,22,22,25,138,150,139,150
Other Liabilities +,5,10,12,17,34,32,33,59,66,155,122,168,159
Total Liabilities,25,34,45,66,93,96,111,267,302,483,437,554,599
Fixed Assets +,7,7,10,18,19,28,27,121,113,208,216,206,204
CWIP,0,1,0,2,0,1,0,0,0,17,1,2,2
Investments,4,12,8,4,13,0,0,84,105,69,34,111,147
Other Assets +,14,14,27,43,61,67,83,62,84,189,186,234,246
Total Assets,25,34,45,66,93,96,111,267,302,483,437,554,599
