,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,31,31,31,109,107,29,29,29,29,29,29,29,29
Reserves,221,242,268,307,352,390,473,517,610,656,686,828,899
Borrowings +,10,47,39,91,92,90,55,66,36,118,20,63,52
Other Liabilities +,42,74,101,223,202,228,123,150,191,206,172,190,194
Total Liabilities,303,393,437,651,676,738,680,763,867,"1,010",908,"1,110","1,175"
Fixed Assets +,80,152,166,247,238,256,263,310,352,347,213,209,197
CWIP,16,16,17,11,11,2,1,5,1,1,0,3,2
Investments,83,45,63,87,84,130,72,33,57,36,157,273,328
Other Assets +,123,180,192,306,343,350,343,414,457,626,538,624,649
Total Assets,303,393,437,651,676,738,680,763,867,"1,010",908,"1,110","1,175"
