,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,151","5,039","5,539","6,182","5,639","5,780","5,788","6,900","7,771","7,767","8,308","9,627","11,117"
Expenses +,"3,933","4,693","4,999","5,673","5,240","5,276","5,017","5,866","6,402","6,575","7,156","7,831","9,187"
Operating Profit,219,346,540,509,399,505,771,"1,035","1,369","1,192","1,152","1,796","1,929"
OPM %,5%,7%,10%,8%,7%,9%,13%,15%,18%,15%,14%,19%,17%
Other Income +,13,-19,-20,50,52,41,47,56,88,88,92,92,114
Interest,104,160,155,149,112,85,71,83,119,164,122,85,63
Depreciation,160,157,147,138,110,98,114,141,157,219,233,238,245
Profit before tax,-32,10,219,272,228,362,633,867,"1,180",897,889,"1,565","1,735"
Tax %,55%,-25%,7%,11%,8%,17%,13%,23%,24%,20%,24%,32%,
Net Profit,-14,12,203,242,211,301,552,669,904,722,674,"1,067","1,133"
EPS in Rs,-0.86,0.72,12.23,14.85,12.98,18.58,33.97,41.22,56.99,45.96,43.17,68.45,72.67
