,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,17,17,17,17,17,17,17,17,17,17,17,17
Reserves,221,200,201,224,222,250,383,417,481,542,599,655,668
Borrowings +,308,383,407,298,419,408,409,419,466,613,508,566,382
Other Liabilities +,272,307,314,419,345,397,349,267,380,436,556,541,505
Total Liabilities,818,908,940,959,"1,004","1,073","1,157","1,121","1,344","1,609","1,681","1,779","1,572"
Fixed Assets +,293,286,291,293,319,321,329,330,390,456,495,584,578
CWIP,14,18,15,18,9,8,3,18,23,34,24,33,51
Investments,13,38,11,29,21,18,35,23,40,27,61,25,53
Other Assets +,498,567,623,618,655,726,790,749,892,"1,092","1,101","1,137",889
Total Assets,818,908,940,959,"1,004","1,073","1,157","1,121","1,344","1,609","1,681","1,779","1,572"
