,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,39,39,39,39,41,42,42,43
Reserves,269,276,335,356,384,486,515,517
Borrowings +,379,425,313,331,447,544,671,779
Other Liabilities +,298,287,355,369,405,477,562,507
Total Liabilities,985,"1,028","1,043","1,094","1,277","1,548","1,790","1,846"
Fixed Assets +,560,689,642,607,687,664,661,635
CWIP,152,66,90,178,216,442,718,849
Investments,13,0,1,0,0,0,0,0
Other Assets +,261,271,310,309,373,443,411,362
Total Assets,985,"1,028","1,043","1,094","1,277","1,548","1,790","1,846"
