,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,106,106,106,106,106,123,120,120
Reserves,70,-19,33,-176,-295,-2,566,704
Borrowings +,348,306,371,488,544,"1,328","1,254","1,412"
Other Liabilities +,196,202,218,"1,390","1,529",227,322,367
Total Liabilities,720,596,728,"1,807","1,884","1,668","2,263","2,603"
Fixed Assets +,491,406,445,"1,578","1,635","1,392","1,756","2,054"
CWIP,38,15,56,12,14,14,7,10
Investments,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,192,174,226,218,235,262,500,539
Total Assets,720,596,728,"1,807","1,884","1,668","2,263","2,603"
