,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,012","1,048","1,111","1,311","1,516","1,135","2,084","2,667"
Expenses +,"1,013","1,008","1,015","1,106","1,297",938,"1,608","2,049"
Operating Profit,-1,39,96,205,220,197,476,619
OPM %,-0%,4%,9%,16%,14%,17%,23%,23%
Other Income +,-0,8,23,42,45,120,-3,6
Interest,43,88,34,137,161,151,129,129
Depreciation,85,137,55,203,223,229,221,250
Profit before tax,-129,-178,30,-93,-120,-64,123,245
Tax %,-1%,-1%,-3%,-1%,-2%,2%,-26%,
Net Profit,-130,-180,31,-94,-121,-63,155,274
EPS in Rs,-11.98,-11.31,4.33,-7.46,-11.46,-0.48,1.30,2.25
