,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,46,46,46,46,52,59,64,93,113,102,115,121,121
Reserves,198,188,171,171,266,273,384,"1,806","4,995","3,801","5,458","5,403","3,971"
Borrowings +,198,37,137,368,"1,690","2,193","1,519","4,929","8,648","5,410","3,739","2,482","1,369"
Other Liabilities +,288,243,191,232,416,196,248,930,"2,259","2,253",810,618,857
Total Liabilities,730,514,546,818,"2,425","2,720","2,215","7,758","16,015","11,566","10,121","8,624","6,318"
Fixed Assets +,50,39,32,34,664,660,86,66,118,755,409,537,457
CWIP,0,0,1,0,11,36,8,5,9,6,6,7,0
Investments,48,83,43,32,69,0,163,499,638,634,"1,420",588,380
Other Assets +,633,392,470,751,"1,680","2,023","1,959","7,188","15,250","10,171","8,286","7,492","5,481"
Total Assets,730,514,546,818,"2,425","2,720","2,215","7,758","16,015","11,566","10,121","8,624","6,318"
