,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,3,10,10,10,10,10,9,9,9
Reserves,160,205,253,322,402,470,512,624,633,698,787,951,"1,046"
Borrowings +,72,46,34,39,16,8,8,5,22,8,48,32,40
Other Liabilities +,115,135,124,145,173,169,185,185,171,217,286,320,353
Total Liabilities,358,396,420,517,594,657,715,823,835,932,"1,131","1,312","1,448"
Fixed Assets +,38,39,63,67,70,133,138,131,117,117,167,159,158
CWIP,1,0,1,22,38,0,0,0,1,4,8,48,90
Investments,0,15,8,1,47,92,66,182,120,159,278,336,180
Other Assets +,319,341,348,427,438,431,510,510,597,652,679,769,"1,020"
Total Assets,358,396,420,517,594,657,715,823,835,932,"1,131","1,312","1,448"
