,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,6,6,6,6
Reserves,266,884,"1,016","1,428","1,363","1,664","1,937","2,182"
Borrowings +,0,873,812,70,92,66,115,160
Other Liabilities +,6,601,887,509,466,652,872,"1,150"
Total Liabilities,279,"2,364","2,721","2,013","1,927","2,388","2,930","3,498"
Fixed Assets +,1,583,604,35,55,72,77,76
CWIP,0,58,59,46,46,46,85,130
Investments,265,871,884,"1,718","1,725","2,129","2,545","3,046"
Other Assets +,13,852,"1,175",215,102,141,224,247
Total Assets,279,"2,364","2,721","2,013","1,927","2,388","2,930","3,498"
