,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,3,3,3,11,11,11,12,12,12,12
Reserves,52,57,69,80,118,186,304,367,530,726,985,"1,100"
Borrowings +,119,94,94,82,80,43,45,141,87,295,667,413
Other Liabilities +,99,123,126,159,217,549,606,971,"1,069","1,814","2,613","3,523"
Total Liabilities,274,277,291,324,417,789,966,"1,491","1,697","2,846","4,277","5,048"
Fixed Assets +,79,80,84,97,124,137,179,241,414,550,"1,003","1,068"
CWIP,4,5,0,0,0,2,16,19,10,72,22,67
Investments,4,7,6,6,0,0,11,8,0,95,141,25
Other Assets +,186,185,201,221,294,650,759,"1,224","1,273","2,128","3,111","3,888"
Total Assets,274,277,291,324,417,789,966,"1,491","1,697","2,846","4,277","5,048"
