,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,212,234,352,553,304,200,416,358,196,158,208,168
Expenses +,176,218,286,446,271,201,334,230,104,91,163,128
Operating Profit,36,16,66,107,34,-1,82,128,93,67,44,40
OPM %,17%,7%,19%,19%,11%,-0%,20%,36%,47%,42%,21%,24%
Other Income +,2,28,12,3,22,47,15,-24,-18,10,-3,1
Interest,7,14,15,15,18,21,23,21,15,12,10,13
Depreciation,6,5,7,9,10,13,19,21,22,21,42,36
Profit before tax,25,25,57,87,27,12,55,62,38,44,-12,-8
Tax %,34%,37%,28%,28%,41%,63%,14%,2%,6%,8%,5%,-12%
Net Profit,17,16,41,62,16,4,47,61,36,41,-11,-9
EPS in Rs,13.29,11.73,30.50,39.54,9.63,2.56,28.09,36.32,21.28,24.54,-6.63,-5.15
