,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,2,79,79,79,79,79,79,79,79,79,79,79
Reserves,145,246,275,315,353,425,368,430,43,28,30,82
Borrowings +,36,59,159,197,215,266,434,455,534,613,565,74
Other Liabilities +,36,45,78,113,107,156,147,171,136,132,107,230
Total Liabilities,219,429,591,705,755,927,"1,028","1,135",793,852,781,465
Fixed Assets +,76,119,177,181,182,148,168,228,243,246,341,29
CWIP,63,40,151,253,306,439,366,479,372,428,286,0
Investments,0,87,26,6,0,0,0,0,0,0,0,231
Other Assets +,80,182,238,266,266,340,495,429,179,178,154,205
Total Assets,219,429,591,705,755,927,"1,028","1,135",793,852,781,465
