,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Sep 2013,Sep 2014
Share Capital +,219,229,229,229,229,229,229,59,65
Reserves,-406,-863,"-1,101","-1,158","-1,152","-1,241",-221,-55,-86
Borrowings +,"1,002","1,103","1,126","1,134","1,120","1,024",103,72,70
Other Liabilities +,637,651,604,571,586,718,454,279,306
Total Liabilities,"1,287",944,683,600,608,554,389,351,351
Fixed Assets +,699,398,378,361,347,333,213,213,211
CWIP,8,6,6,6,7,6,1,2,2
Investments,348,341,119,103,107,62,25,14,14
Other Assets +,231,200,180,130,147,153,150,122,124
Total Assets,"1,287",944,683,600,608,554,389,351,351
