,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,29,29,30,30,30,41,40,38,38,36,34,33,50
Reserves,209,314,408,559,685,"1,052","1,186","1,229","1,455","1,377","1,467","1,534","1,695"
Borrowings +,0,0,0,0,0,4,1,6,2,157,175,163,176
Other Liabilities +,114,118,163,201,242,192,171,146,89,153,315,324,391
Total Liabilities,353,461,601,790,957,"1,288","1,398","1,419","1,584","1,723","1,991","2,055","2,311"
Fixed Assets +,30,44,135,155,167,365,325,343,348,480,728,713,740
CWIP,7,4,1,1,1,0,2,0,0,1,0,2,5
Investments,28,100,35,115,155,219,252,165,286,437,229,196,234
Other Assets +,288,313,430,518,634,704,820,910,950,806,"1,033","1,145","1,331"
Total Assets,353,461,601,790,957,"1,288","1,398","1,419","1,584","1,723","1,991","2,055","2,311"
