,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"9,359","12,491","11,383","12,114","13,952","15,358","14,391","15,373","16,556","17,129","18,556","23,528","30,669"
Expenses +,"8,304","11,290","10,356","11,212","12,938","14,517","12,965","14,068","15,105","15,242","16,467","21,146","27,796"
Operating Profit,"1,056","1,202","1,027",902,"1,014",841,"1,426","1,305","1,450","1,887","2,089","2,382","2,873"
OPM %,11%,10%,9%,7%,7%,5%,10%,8%,9%,11%,11%,10%,9%
Other Income +,151,75,95,105,105,179,159,150,83,129,17,233,252
Interest,209,294,388,465,420,451,417,336,425,430,236,152,199
Depreciation,174,190,215,226,244,250,248,251,272,319,332,334,351
Profit before tax,823,793,519,315,455,319,920,868,837,"1,266","1,539","2,129","2,574"
Tax %,33%,34%,30%,31%,39%,45%,23%,40%,48%,30%,35%,26%,
Net Profit,555,527,363,219,276,175,708,517,438,889,"1,000","1,574","1,883"
EPS in Rs,18.03,18.01,11.77,4.44,6.64,1.96,29.61,14.45,8.67,26.43,25.26,51.12,59.07
