,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,2,2,2,2,2,2,2,2,2,2,2,2,2
Reserves,52,55,62,76,86,104,122,146,178,209,263,306,325
Borrowings +,6,7,11,7,6,53,3,2,0,4,3,3,3
Other Liabilities +,147,131,160,165,181,232,271,242,258,240,194,205,220
Total Liabilities,207,196,236,250,275,392,398,392,439,455,463,516,550
Fixed Assets +,4,5,5,5,7,6,14,13,13,18,18,18,18
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,1,7,1,4,3,2,0,0,0,0,0,0,0
Other Assets +,202,183,229,242,265,384,384,379,426,436,444,498,532
Total Assets,207,196,236,250,275,392,398,392,439,455,463,516,550
