,Mar 2011,Sep 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,23,23,23,23,23,52,13,13,13,13,13,13,13
Reserves,780,-6,-283,-610,"-1,088","-1,268","-1,379","-1,375","-1,235","-1,106","-1,055","-1,095","-1,156"
Borrowings +,"2,522","3,176","3,251","3,233","3,185","3,146","3,073","2,851","2,616","2,294","2,234","2,087","2,043"
Other Liabilities +,635,422,366,368,368,411,512,671,775,720,705,741,861
Total Liabilities,"3,949","3,603","3,345","3,002","2,477","2,300","2,219","2,160","2,169","1,920","1,897","1,745","1,760"
Fixed Assets +,"1,792","1,827","1,677","1,606","1,457","1,321","1,118","1,027",949,825,738,698,685
CWIP,245,23,24,23,21,21,22,17,29,28,27,33,31
Investments,0,0,0,0,0,2,7,7,7,7,7,8,8
Other Assets +,"1,911","1,753","1,643","1,373",998,957,"1,073","1,108","1,184","1,060","1,124","1,007","1,037"
Total Assets,"3,949","3,603","3,345","3,002","2,477","2,300","2,219","2,160","2,169","1,920","1,897","1,745","1,760"
