,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,16,16,16,16,16,16,16,32,32,32
Reserves,322,382,418,448,478,532,592,674,756,754,844,"1,012","1,095"
Borrowings +,7,9,288,337,367,304,251,266,238,448,465,436,677
Other Liabilities +,229,214,332,363,296,255,249,297,365,333,424,479,529
Total Liabilities,574,621,"1,054","1,164","1,156","1,106","1,108","1,253","1,375","1,551","1,765","1,959","2,332"
Fixed Assets +,87,109,297,391,454,462,441,440,504,600,572,553,553
CWIP,3,8,76,86,10,2,4,2,6,4,4,7,22
Investments,17,15,15,15,15,15,15,15,14,12,24,31,37
Other Assets +,467,490,666,672,677,627,648,795,851,935,"1,165","1,367","1,721"
Total Assets,574,621,"1,054","1,164","1,156","1,106","1,108","1,253","1,375","1,551","1,765","1,959","2,332"
