,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,323,478,477,489,440,362,375,377,410,368,343,390,411
Expenses +,289,452,440,456,440,348,354,359,398,371,323,384,405
Operating Profit,34,26,38,33,0,15,21,18,11,-2,20,5,6
OPM %,11%,5%,8%,7%,0%,4%,6%,5%,3%,-1%,6%,1%,2%
Other Income +,9,16,15,15,10,10,11,12,8,24,16,13,25
Interest,2,5,8,11,12,15,15,17,18,19,16,16,15
Depreciation,9,12,11,13,18,21,18,18,18,17,17,18,17
Profit before tax,32,25,33,23,-20,-11,-2,-5,-16,-15,3,-16,-1
Tax %,39%,43%,33%,53%,-14%,-6%,-157%,-22%,2%,-5%,66%,-5%,
Net Profit,20,14,23,11,-22,-11,-4,-6,-16,-15,1,-16,-1
EPS in Rs,3.90,2.85,4.50,2.19,-4.47,-2.29,-0.81,-1.13,-3.22,-3.04,0.22,-3.27,-0.27
