,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,13.31,15.95,19.01,15.94,16.06,16.88,21.16,21.56,21.48,22.08,22.67,22.21
Expenses +,5.33,7.07,8.56,6.38,7.11,8.09,10.40,10.44,9.92,10.11,9.73,10.56
Operating Profit,7.98,8.88,10.45,9.56,8.95,8.79,10.76,11.12,11.56,11.97,12.94,11.65
OPM %,59.95%,55.67%,54.97%,59.97%,55.73%,52.07%,50.85%,51.58%,53.82%,54.21%,57.08%,52.45%
Other Income +,0.58,0.13,0.16,0.35,0.65,0.58,0.54,0.98,1.82,1.99,2.62,3.67
Interest,1.56,1.81,1.67,1.24,0.98,0.35,0.02,0.00,0.00,0.00,0.20,0.19
Depreciation,1.44,1.54,2.84,2.93,2.91,2.66,3.26,3.45,4.91,4.16,3.30,2.80
Profit before tax,5.56,5.66,6.10,5.74,5.71,6.36,8.02,8.65,8.47,9.80,12.06,12.33
Tax %,34.71%,35.16%,35.25%,34.67%,36.08%,33.81%,32.79%,32.49%,33.65%,34.18%,35.07%,27.01%
Net Profit,3.63,3.67,3.95,3.75,3.65,4.21,5.39,5.84,5.63,6.45,7.83,9.00
EPS in Rs,9.08,9.18,9.88,9.38,9.12,10.52,13.48,14.60,14.08,16.12,19.58,22.50
