,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,10,12,12,12,13,13,13,13,14,14,14,14
Reserves,287,365,407,564,528,499,482,468,458,306,257,114
Borrowings +,185,308,356,317,435,524,524,588,690,896,"1,023",976
Other Liabilities +,306,370,469,388,471,466,489,547,513,370,289,420
Total Liabilities,789,"1,055","1,244","1,281","1,447","1,502","1,508","1,616","1,674","1,585","1,582","1,523"
Fixed Assets +,69,168,191,197,300,375,375,378,370,271,231,219
CWIP,17,51,55,23,27,46,50,65,82,27,25,24
Investments,30,19,20,17,10,10,10,10,10,79,80,72
Other Assets +,673,817,978,"1,044","1,110","1,072","1,074","1,164","1,211","1,208","1,246","1,208"
Total Assets,789,"1,055","1,244","1,281","1,447","1,502","1,508","1,616","1,674","1,585","1,582","1,523"
