,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,205,205,205,205,205,207,207,207,207,207,207,207,207
Reserves,"5,036","5,290","6,563","6,884","6,675","3,126","2,400","1,163","-2,117","-4,428","-5,020","-5,121","-5,257"
Borrowings +,"4,989","5,638","5,296","5,625","5,142","5,324","5,613","4,628","4,771","4,641","4,599","3,912","3,928"
Other Liabilities +,603,886,"1,360","1,329","1,430","1,506","1,276","1,647","1,701","1,925","2,298","2,171","2,318"
Total Liabilities,"10,833","12,019","13,424","14,043","13,452","10,163","9,496","7,645","4,563","2,345","2,084","1,170","1,196"
Fixed Assets +,"7,793","8,093","9,380","9,817","9,814","6,449","5,835","5,253","3,149","1,003",884,112,91
CWIP,358,"1,791","1,736",92,78,79,137,78,11,11,16,0,0
Investments,0,0,0,63,63,0,37,0,42,0,6,40,40
Other Assets +,"2,681","2,135","2,308","4,071","3,497","3,635","3,487","2,314","1,361","1,332","1,178","1,018","1,065"
Total Assets,"10,833","12,019","13,424","14,043","13,452","10,163","9,496","7,645","4,563","2,345","2,084","1,170","1,196"
