,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2019
Share Capital +,28,28,179,32,32,32,32,32,32,32,32,32,32
Reserves,344,305,328,666,727,793,845,879,716,148,-421,"-1,216","-1,312"
Borrowings +,100,148,200,214,352,388,473,525,680,861,"1,003","1,166","1,259"
Other Liabilities +,55,318,414,288,277,235,339,399,310,257,269,154,157
Total Liabilities,527,799,969,"1,200","1,388","1,448","1,688","1,836","1,738","1,298",883,137,136
Fixed Assets +,94,400,270,280,509,570,709,921,870,841,739,52,54
CWIP,62,0,109,246,93,117,188,114,126,30,3,3,0
Investments,32,0,0,59,74,0,0,0,0,0,0,0,0
Other Assets +,340,399,590,616,711,760,791,801,742,427,141,82,82
Total Assets,527,799,969,"1,200","1,388","1,448","1,688","1,836","1,738","1,298",883,137,136
