,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2021,Mar 2022,Sep 2022
Share Capital +,31,31,28,31,31,31,31,31,31,42,47,43,42
Reserves,75,82,113,146,246,232,226,232,235,250,470,580,730
Borrowings +,104,98,53,54,224,304,335,363,376,316,203,638,667
Other Liabilities +,31,41,44,69,122,60,60,72,72,80,147,169,234
Total Liabilities,238,249,238,301,623,627,652,698,714,688,862,"1,428","1,673"
Fixed Assets +,147,140,140,136,363,350,376,390,399,385,377,390,379
CWIP,1,2,0,37,5,17,5,18,12,23,76,435,566
Investments,0,0,0,0,1,1,0,0,0,0,1,0,156
Other Assets +,90,107,97,129,254,258,272,290,303,280,407,604,572
Total Assets,238,249,238,301,623,627,652,698,714,688,862,"1,428","1,673"
