,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2021,Mar 2022,TTM
Sales +,282,318,372,395,671,698,884,928,895,768,992,"1,406","1,295"
Expenses +,271,280,301,334,448,663,842,853,823,698,760,"1,164","1,101"
Operating Profit,11,38,71,61,223,35,42,74,72,71,231,241,194
OPM %,4%,12%,19%,15%,33%,5%,5%,8%,8%,9%,23%,17%,15%
Other Income +,4,2,0,1,1,6,5,5,3,5,8,8,146
Interest,13,13,10,6,13,35,26,35,37,36,19,25,29
Depreciation,16,14,13,14,18,27,29,30,32,32,35,39,39
Profit before tax,-14,12,48,41,193,-21,-8,14,5,7,185,186,272
Tax %,0%,20%,30%,33%,33%,34%,32%,41%,21%,33%,26%,27%,
Net Profit,-14,10,33,28,129,-14,-5,8,4,5,137,137,233
EPS in Rs,,,,4.43,20.58,-2.21,-0.84,1.33,0.61,0.55,16.49,16.39,27.92
