,Mar 2008,Mar 2009,Mar 2010,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,15,15,15,15,16,16,16,16,16,16
Reserves,127,137,159,279,304,331,323,382,436,437,493,527,544
Borrowings +,135,189,128,243,301,256,198,84,90,79,8,55,51
Other Liabilities +,80,111,136,290,330,324,309,320,361,317,413,461,473
Total Liabilities,356,451,438,827,950,927,846,802,902,849,930,"1,058","1,084"
Fixed Assets +,116,235,220,282,321,350,345,341,337,359,355,398,387
CWIP,103,7,6,61,32,9,18,21,26,21,13,19,23
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,138,210,211,485,597,567,483,441,539,469,561,641,673
Total Assets,356,451,438,827,950,927,846,802,902,849,930,"1,058","1,084"
