,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,14,15,15,19,22,22,23,24,24
Reserves,81,191,240,503,567,239,94,-156,-982
Borrowings +,46,49,84,182,445,650,824,866,506
Other Liabilities +,25,61,54,130,224,169,128,126,566
Total Liabilities,166,316,393,834,"1,258","1,079","1,069",859,114
Fixed Assets +,50,93,146,294,290,242,135,55,29
CWIP,13,25,25,60,108,60,63,0,0
Investments,9,23,1,22,7,7,7,7,7
Other Assets +,94,174,222,458,852,770,864,797,78
Total Assets,166,316,393,834,"1,258","1,079","1,069",859,114
