,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21.17,31.35,31.35,31.35,31.35,31.35,31.35,94.05,94.05,94.05,94.05,94.05,141.07
Reserves,105.29,123.03,129.65,132.80,132.74,134.88,134.59,74.76,77.08,77.25,78.08,74.37,28.66
Borrowings +,0.16,0.09,6.91,6.18,5.76,5.42,4.27,4.70,0.61,0.72,0.51,0.29,1.95
Other Liabilities +,4.09,1.24,1.60,0.85,15.85,14.49,4.39,3.42,2.70,3.73,5.20,10.43,8.92
Total Liabilities,130.71,155.71,169.51,171.18,185.70,186.14,174.60,176.93,174.44,175.75,177.84,179.14,180.60
Fixed Assets +,9.48,8.56,8.09,6.24,4.03,3.75,3.64,4.32,2.08,19.48,18.86,18.70,18.60
CWIP,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Investments,63.77,95.05,99.86,100.20,99.59,98.19,96.15,101.47,100.51,-0.00,-0.00,-0.00,-0.00
Other Assets +,57.46,52.10,61.56,64.74,82.08,84.20,74.81,71.14,71.85,156.27,158.98,160.44,162.00
Total Assets,130.71,155.71,169.51,171.18,185.70,186.14,174.60,176.93,174.44,175.75,177.84,179.14,180.60
