,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,5,5,6,6,6,6,6,6,6,6,6
Reserves,106,119,130,143,179,204,404,526,693,695,845,"1,143","1,205"
Borrowings +,52,75,73,102,95,89,68,10,7,24,9,7,4
Other Liabilities +,75,86,95,100,108,121,141,186,209,212,251,330,330
Total Liabilities,238,286,303,352,387,421,619,728,916,937,"1,111","1,487","1,545"
Fixed Assets +,99,108,121,128,158,164,183,203,238,376,389,427,418
CWIP,1,6,5,20,3,3,8,23,12,10,17,21,30
Investments,18,18,22,22,23,27,211,282,394,264,365,547,592
Other Assets +,121,155,156,181,204,227,216,220,272,287,340,492,505
Total Assets,238,286,303,352,387,421,619,728,916,937,"1,111","1,487","1,545"
