,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,12.60,25.83,25.83,40.83,40.83,53.42,53.42,53.42
Reserves,18.84,316.26,84.76,-45.76,-54.65,-52.77,-62.60,-65.15
Borrowings +,16.13,39.32,30.07,35.38,41.49,41.02,41.00,40.99
Other Liabilities +,2.34,18.46,3.25,2.04,3.27,3.08,2.04,1.42
Total Liabilities,49.91,399.87,143.91,32.49,30.94,44.75,33.86,30.68
Fixed Assets +,28.34,30.90,26.29,23.98,22.05,20.07,18.37,17.05
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.00,253.16,0.16,0.00,0.00,0.00,0.00,0.00
Other Assets +,21.57,115.81,117.46,8.51,8.89,24.68,15.49,13.63
Total Assets,49.91,399.87,143.91,32.49,30.94,44.75,33.86,30.68
