,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,22,22,22,22,22,22,22,22,22
Reserves,41,47,54,54,69,90,113,137,147,187,240,277
Borrowings +,8,6,4,2,3,1,5,2,3,3,2,0
Other Liabilities +,19,17,19,23,20,26,21,34,35,54,75,52
Total Liabilities,78,82,88,101,114,140,161,195,208,267,339,351
Fixed Assets +,10,12,14,18,19,27,29,36,41,59,84,86
CWIP,0,0,0,0,0,0,0,0,1,5,0,4
Investments,20,21,16,29,39,47,55,48,52,32,17,50
Other Assets +,49,49,58,54,56,66,77,110,114,171,238,212
Total Assets,78,82,88,101,114,140,161,195,208,267,339,351
