,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,18,18,18,18,18,18,18,18,17,17,17,17
Reserves,598,677,766,827,919,"1,065","1,252","1,259","1,428","1,530","1,717","1,940","1,884"
Borrowings +,4,4,3,3,2,1,1,1,1,15,15,32,32
Other Liabilities +,149,163,179,211,210,182,197,228,194,250,207,281,364
Total Liabilities,769,863,966,"1,059","1,148","1,266","1,468","1,505","1,640","1,813","1,956","2,270","2,297"
Fixed Assets +,277,293,289,284,393,675,678,674,682,674,689,705,703
CWIP,10,11,7,18,29,20,6,13,12,24,19,105,141
Investments,263,340,416,417,489,325,491,471,585,665,790,886,754
Other Assets +,220,219,254,340,237,246,293,348,360,451,458,575,700
Total Assets,769,863,966,"1,059","1,148","1,266","1,468","1,505","1,640","1,813","1,956","2,270","2,297"
