,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,12,13,13,13,13,13,13,13
Reserves,113,132,156,185,215,261,397,436,464,512,556,629,678
Borrowings +,81,163,134,119,117,140,225,159,171,127,77,46,37
Other Liabilities +,151,112,131,139,157,246,234,327,314,269,276,361,331
Total Liabilities,357,418,433,455,501,659,870,935,963,920,922,"1,049","1,059"
Fixed Assets +,231,282,293,313,334,416,479,554,564,591,547,508,489
CWIP,13,1,1,0,5,12,6,7,11,0,3,1,3
Investments,0,0,0,0,0,0,86,19,25,21,21,77,31
Other Assets +,113,136,139,142,162,231,298,355,362,308,351,463,536
Total Assets,357,418,433,455,501,659,870,935,963,920,922,"1,049","1,059"
