,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Sep 2017
Share Capital +,12.23,17.73,17.73,25.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23
Reserves,33.05,98.24,102.97,130.14,158.01,135.72,109.13,75.79,45.58,23.80,23.75
Borrowings +,59.26,67.73,74.31,108.09,168.29,205.98,236.05,262.88,290.23,317.34,308.21
Other Liabilities +,24.33,35.09,111.40,111.27,197.57,34.35,24.02,18.61,15.75,14.47,23.45
Total Liabilities,128.87,218.79,306.41,374.73,574.10,426.28,419.43,407.51,401.79,405.84,405.64
Fixed Assets +,63.45,115.50,113.32,127.96,156.51,148.96,140.25,124.12,114.19,114.19,136.57
CWIP,2.39,0.00,0.00,3.62,4.00,8.30,10.77,14.64,18.52,22.38,0.00
Investments,0.03,13.90,7.78,7.95,8.30,8.29,8.27,8.27,8.27,8.27,8.27
Other Assets +,63.00,89.39,185.31,235.20,405.29,260.73,260.14,260.48,260.81,261.00,260.80
Total Assets,128.87,218.79,306.41,374.73,574.10,426.28,419.43,407.51,401.79,405.84,405.64
