,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,TTM
Sales +,190.14,288.27,568.71,794.75,965.70,205.87,20.08,0.46,0.00,0.00,0.00
Expenses +,162.94,268.28,544.42,766.08,937.28,201.09,21.51,1.59,0.36,0.34,0.19
Operating Profit,27.20,19.99,24.29,28.67,28.42,4.78,-1.43,-1.13,-0.36,-0.34,-0.19
OPM %,14.31%,6.93%,4.27%,3.61%,2.94%,2.32%,-7.12%,-245.65%,,,
Other Income +,0.12,1.16,0.33,0.48,0.66,0.56,0.61,-5.30,0.16,0.20,0.05
Interest,4.72,6.46,8.97,11.72,17.04,21.81,20.36,20.02,23.00,22.94,5.96
Depreciation,2.14,3.27,5.50,5.77,7.21,8.35,8.14,10.12,9.84,0.00,0.00
Profit before tax,20.46,11.42,10.15,11.66,4.83,-24.82,-29.32,-36.57,-33.04,-23.08,-6.10
Tax %,35.19%,46.15%,43.15%,47.34%,51.76%,10.19%,10.33%,8.83%,8.57%,5.63%,
Net Profit,13.26,6.15,5.77,6.14,2.33,-22.28,-26.28,-33.34,-30.21,-21.78,-4.80
EPS in Rs,,3.47,3.25,2.43,0.46,-4.44,-5.23,-6.64,-6.01,-4.34,-0.95
