,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,38,38,39,40,40,40,40
Reserves,"1,170","1,317","1,613","1,597",661,"-1,922","-2,067"
Borrowings +,682,783,904,"2,757","2,954","2,169","1,610"
Other Liabilities +,"1,718","1,660","2,505","2,904","2,571","4,175","4,186"
Total Liabilities,"3,608","3,798","5,061","7,298","6,227","4,463","3,769"
Fixed Assets +,740,924,"1,274","2,675","2,330",668,422
CWIP,190,290,158,178,61,59,59
Investments,216,217,349,345,323,32,32
Other Assets +,"2,462","2,366","3,280","4,099","3,513","3,705","3,256"
Total Assets,"3,608","3,798","5,061","7,298","6,227","4,463","3,769"
