,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,56,56,56,56,56,56,56,56,56,56,56,56,56
Reserves,336,371,356,382,415,455,558,648,739,762,765,820,866
Borrowings +,63,118,174,178,195,181,83,25,23,1,10,9,9
Other Liabilities +,272,345,315,334,374,423,384,361,353,356,489,456,521
Total Liabilities,727,889,901,950,"1,040","1,115","1,080","1,089","1,170","1,175","1,319","1,340","1,451"
Fixed Assets +,371,442,474,496,486,540,534,554,578,555,547,528,505
CWIP,36,37,38,33,57,32,48,35,28,42,29,48,73
Investments,10,11,-0,-0,-0,-0,0,0,0,0,0,2,2
Other Assets +,310,400,389,421,496,543,499,500,563,578,743,762,872
Total Assets,727,889,901,950,"1,040","1,115","1,080","1,089","1,170","1,175","1,319","1,340","1,451"
