,Sep 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,208,394,257,305,359,335,354,335,339,392,371,632,782
Expenses +,195,376,235,280,315,306,326,305,312,359,347,580,718
Operating Profit,13,18,22,24,44,30,28,30,26,33,24,52,64
OPM %,6%,5%,9%,8%,12%,9%,8%,9%,8%,8%,6%,8%,8%
Other Income +,11,8,3,6,4,4,15,7,119,4,11,6,8
Interest,17,29,18,20,22,20,24,22,16,13,16,21,23
Depreciation,4,6,5,5,11,8,10,10,12,12,12,13,14
Profit before tax,3,-8,3,6,15,5,9,5,118,11,5,24,34
Tax %,35%,24%,0%,10%,19%,90%,48%,26%,8%,3%,28%,34%,
Net Profit,2,-6,3,5,12,1,5,3,109,11,4,15,24
EPS in Rs,0.41,-1.45,0.57,1.21,2.84,0.14,-0.30,0.71,21.71,2.20,0.78,3.04,4.76
