,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,16,16,16,16,16,16,16,16
Reserves,76,77,77,64,60,42,22,8,-66,-47,-45
Borrowings +,79,79,86,96,101,82,74,76,93,79,82
Other Liabilities +,42,88,69,67,75,89,86,85,72,39,36
Total Liabilities,213,260,247,242,252,229,198,184,115,87,89
Fixed Assets +,28,30,61,56,48,42,34,29,24,21,19
CWIP,12,15,0,0,0,0,0,0,0,0,0
Investments,7,0,0,0,0,0,0,0,0,0,0
Other Assets +,165,215,187,186,204,187,164,155,90,66,69
Total Assets,213,260,247,242,252,229,198,184,115,87,89
