,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,720,670,616,824,"1,064",865,"1,007","3,017","3,271"
Expenses +,656,604,565,738,938,833,896,"2,721","2,978"
Operating Profit,65,66,52,86,125,32,111,296,293
OPM %,9%,10%,8%,10%,12%,4%,11%,10%,9%
Other Income +,1,3,1,5,5,1,2,54,52
Interest,12,7,6,7,6,6,10,20,18
Depreciation,17,18,17,15,14,14,16,92,79
Profit before tax,37,44,30,69,110,13,88,237,248
Tax %,8%,5%,11%,29%,35%,42%,35%,26%,
Net Profit,34,46,38,63,104,22,81,176,163
EPS in Rs,4.17,5.62,4.65,7.71,12.83,2.76,10.01,21.62,15.79
